source,target,ligand_complex,receptor_complex,magnitude_rank,specificity_rank,lr_means,cellphone_pvals
4,2,COL4A2,CD44,0.4251348593089371,0.03486749352232892,0.5710569,0.0
1,2,COL1A1,DDR1,0.4251348593089371,0.17879891905993306,0.61172575,0.0
2,3,PKM,CD44,0.4254992689308511,1.0,0.23999326,0.97
2,3,CALR,ITGAV,0.4265378719768021,0.03761438783730696,0.3847425,0.0
3,1,FN1,CD44,0.4265378719768021,1.0,0.42547342,0.83
3,2,TIMP2,CD44,0.42990148940714706,0.9302721574455112,0.569355,0.0
3,3,CCN2,ITGA5,0.4301322734180614,0.05962483472744234,0.38101947,0.0
4,4,COL4A1,CD44,0.4301322734180614,0.5227712011173687,0.39395636,0.27
1,3,COL6A3,CD44,0.433746811509554,0.45393912010319587,0.39798993,0.1
1,3,TIMP1,CD63,0.433746811509554,1.0,0.3909996,0.97
3,1,TIMP1,CD63,0.43468825615559026,0.1205632716049383,0.56728923,0.0
2,2,APP,NCSTN,0.43468825615559026,0.17879891905993306,0.83000946,0.0
2,5,GRN,TNFRSF1A,0.4373633088933647,0.6189630917641062,0.24304247,0.07
3,2,NID1,PTPRF,0.43738154249890593,0.0130012172966546,0.38764203,0.0
5,4,COL5A1,SDC3,0.43738154249890593,0.0130012172966546,0.3804419,0.0
1,2,APP,TSPAN15,0.43738154249890593,1.0,0.4055938,0.99
5,1,SPARC,ENG,0.43949504705901404,0.3691483956401895,0.5661706,0.0
3,4,COL1A1,CD44,0.43949504705901404,0.5578798963572627,0.61190826,0.06
4,3,COL6A1,CD44,0.44103652263374454,0.8397684389831325,0.43046802,0.16
1,2,THBS1,ITGA6,0.4443217496221658,0.05113837558628126,0.5660166,0.0
1,4,COL1A1,CD44,0.4443217496221658,1.0,0.61075705,0.04
2,2,MIF,TNFRSF14,0.4447118081616959,0.0253550703851818,0.41719726,0.0
4,5,COL6A1,ITGA6,0.4447118081616959,0.3387981647240275,0.43071342,0.01
5,2,APP,TSPAN15,0.4447118081616959,1.0,0.37957656,1.0
3,2,APP,TNFRSF21,0.44840745533038506,1.0,0.40569,0.99
1,1,THBS1,ITGA6,0.44840745533038506,1.0,0.3906961,0.07
1,2,SPON1,APP,0.449168251349793,0.09711596749564537,0.82881063,0.0
4,1,MMP2,PECAM1,0.449168251349793,0.3208049930234464,0.56541646,0.0
1,2,GRN,TNFRSF1A,0.449190844146377,1.0,0.24034531,0.1
2,4,FN1,CD44,0.45212352038743964,1.0,0.39712548,0.97
1,2,TIMP3,CD44,0.45403443974664265,0.3165298064224322,0.5653849,0.0
4,1,COL6A1,CD44,0.4558600595804857,1.0,0.4318179,0.22
2,2,APP,LRP10,0.45892020231746217,0.10451204838176296,0.827776,0.0
2,4,VIM,CD44,0.4596171291571496,1.0,0.39898843,1.0
2,2,ADAM10,NOTCH1,0.4609819309375144,0.4290037915992051,0.24094081,0.0
5,2,TIMP3,DDR1,0.46339478536505757,0.0130012172966546,0.37741402,0.0
4,2,PSAP,SORT1,0.46339478536505757,0.033551888222159126,0.45160052,0.0
5,2,TIMP1,CD63,0.4638254265669989,0.5472791551120517,0.5637852,0.0
4,3,TIMP1,CD63,0.46719308445183594,1.0,0.39485693,0.86
5,4,TIMP3,CD44,0.46719308445183594,1.0,0.37644535,0.71
5,2,LAMA4,CD44,0.4710120826651114,0.06801792790733119,0.46199262,0.0
2,3,ADAM15,ITGAV,0.4710120826651114,0.1155665151983218,0.37579995,0.0
1,4,APP,LRP1,0.4710120826651114,1.0,0.38727117,1.0
1,3,COL14A1,CD44,0.4727366255144032,1.0,0.24142954,0.93
1,2,C3,CD46,0.47485183625251026,0.12226431442253956,0.38686475,0.0
3,4,COL4A2,CD44,0.47485183625251026,0.4575504114680273,0.37562615,0.2
